title,vote_average,vote_count
Avatar,7.2,11800
Pirates of the Caribbean: At World's End,6.9,4500
Spectre,6.3,4466
The Dark Knight Rises,7.6,9106
John Carter,6.1,2124
Spider-Man 3,5.9,3576
Tangled,7.4,3330
Avengers: Age of Ultron,7.3,6767
Harry Potter and the Half-Blood Prince,7.4,5293
Batman v Superman: Dawn of Justice,5.7,7004
Superman Returns,5.4,1400
Quantum of Solace,6.1,2965
Pirates of the Caribbean: Dead Man's Chest,7.0,5246
The Lone Ranger,5.9,2311
Man of Steel,6.5,6359
The Chronicles of Narnia: Prince Caspian,6.3,1630
The Avengers,7.4,11776
Pirates of the Caribbean: On Stranger Tides,6.4,4948
Men in Black 3,6.2,4160
The Hobbit: The Battle of the Five Armies,7.1,4760
The Amazing Spider-Man,6.5,6586
Robin Hood,6.2,1398
The Hobbit: The Desolation of Smaug,7.6,4524
The Golden Compass,5.8,1303
King Kong,6.6,2337
Titanic,7.5,7562
Captain America: Civil War,7.1,7241
Battleship,5.5,2114
Jurassic World,6.5,8662
Skyfall,6.9,7604
Spider-Man 2,6.7,4321
Iron Man 3,6.8,8806
Alice in Wonderland,6.4,4645
X-Men: The Last Stand,6.3,3525
Monsters University,7.0,3528
Transformers: Revenge of the Fallen,6.0,3138
Transformers: Age of Extinction,5.8,3095
Oz: The Great and Powerful,5.7,3530
The Amazing Spider-Man 2,6.5,4179
TRON: Legacy,6.3,2841
Cars 2,5.8,2033
Green Lantern,5.1,2487
Toy Story 3,7.6,4597
Terminator Salvation,5.9,2463
Furious 7,7.3,4176
World War Z,6.7,5560
X-Men: Days of Future Past,7.5,6032
Star Trek Into Darkness,7.4,4418
Jack the Giant Slayer,5.5,2598
The Great Gatsby,7.3,3769
Prince of Persia: The Sands of Time,6.2,2317
Pacific Rim,6.7,4794
Transformers: Dark of the Moon,6.1,3299
Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
The Good Dinosaur,6.6,1736
Brave,6.7,4641
Star Trek Beyond,6.6,2568
WALL·E,7.8,6296
Rush Hour 3,6.1,783
2012,5.6,4903
A Christmas Carol,6.6,1095
Jupiter Ascending,5.2,2768
The Legend of Tarzan,5.5,2430
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
X-Men: Apocalypse,6.4,4721
The Dark Knight,8.2,12002
Up,7.7,6870
Monsters vs Aliens,6.0,1423
Iron Man,7.4,8776
Hugo,7.0,2141
Wild Wild West,5.1,1020
The Mummy: Tomb of the Dragon Emperor,5.2,1387
Suicide Squad,5.9,7458
Evan Almighty,5.3,1151
Edge of Tomorrow,7.6,4858
Waterworld,5.9,992
G.I. Joe: The Rise of Cobra,5.6,1962
Inside Out,8.0,6560
The Jungle Book,6.7,2892
Iron Man 2,6.6,6849
Snow White and the Huntsman,5.8,3118
Maleficent,7.0,4496
Dawn of the Planet of the Apes,7.3,4410
The Lovers,4.8,34
47 Ronin,5.9,1326
Captain America: The Winter Soldier,7.6,5764
Shrek Forever After,6.0,1959
Tomorrowland,6.2,2846
Big Hero 6,7.8,6135
Wreck-It Ralph,7.1,4570
The Polar Express,6.4,1474
Independence Day: Resurgence,4.9,2491
How to Train Your Dragon,7.5,4227
Terminator 3: Rise of the Machines,5.9,2143
Guardians of the Galaxy,7.9,9742
Interstellar,8.1,10867
Inception,8.1,13752
Shin Godzilla,6.5,143
The Hobbit: An Unexpected Journey,7.0,8297
The Fast and the Furious,6.6,3428
The Curious Case of Benjamin Button,7.3,3292
X-Men: First Class,7.1,5181
The Hunger Games: Mockingjay - Part 2,6.6,3984
The Sorcerer's Apprentice,5.8,1470
Poseidon,5.5,583
Alice Through the Looking Glass,6.5,1725
Shrek the Third,6.0,2278
Warcraft,6.3,2268
Terminator Genisys,5.8,3631
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
Pearl Harbor,6.6,1791
Transformers,6.6,4040
Alexander,5.6,927
Harry Potter and the Order of the Phoenix,7.4,5494
Harry Potter and the Goblet of Fire,7.5,5608
Hancock,6.2,2961
I Am Legend,6.9,4853
Charlie and the Chocolate Factory,6.7,3624
Ratatouille,7.5,4369
Batman Begins,7.5,7359
Madagascar: Escape 2 Africa,6.2,1810
Night at the Museum: Battle of the Smithsonian,5.9,1971
X-Men Origins: Wolverine,6.2,4021
The Matrix Revolutions,6.4,3096
Frozen,7.3,5295
The Matrix Reloaded,6.7,3443
Thor: The Dark World,6.8,4755
Mad Max: Fury Road,7.2,9427
Angels & Demons,6.5,2129
Thor,6.6,6525
Bolt,6.3,1750
G-Force,5.1,510
Wrath of the Titans,5.5,1431
Dark Shadows,5.7,2320
Mission: Impossible - Rogue Nation,7.1,3224
The Wolfman,5.5,549
Bee Movie,5.7,1171
Kung Fu Panda 2,6.7,1880
The Last Airbender,4.7,1151
Mission: Impossible III,6.5,2028
White House Down,6.4,1891
Mars Needs Moms,5.5,199
Flushed Away,6.0,874
Pan,5.9,954
Mr. Peabody & Sherman,6.7,843
Troy,6.9,2759
Madagascar 3: Europe's Most Wanted,6.4,1808
Die Another Day,5.8,1092
Ghostbusters,5.3,2142
Armageddon,6.4,2482
Men in Black II,6.0,3114
Beowulf,5.5,841
Kung Fu Panda 3,6.7,1603
Mission: Impossible - Ghost Protocol,6.8,3972
Rise of the Guardians,7.1,1922
Fun with Dick and Jane,5.9,627
The Last Samurai,7.3,1895
Exodus: Gods and Kings,5.6,1921
Star Trek,7.4,4518
Spider-Man,6.8,5265
How to Train Your Dragon 2,7.6,3106
Gods of Egypt,5.3,1277
Stealth,4.9,331
Watchmen,7.0,2811
Lethal Weapon 4,6.3,767
Hulk,5.3,1533
G.I. Joe: Retaliation,5.4,3025
Sahara,5.7,434
Final Fantasy: The Spirits Within,5.9,433
Captain America: The First Avenger,6.6,7047
The World Is Not Enough,6.0,862
Master and Commander: The Far Side of the World,6.9,790
The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
Happy Feet Two,5.8,373
The Incredible Hulk,6.1,3021
The BFG,6.0,1000
The Revenant,7.3,6396
Turbo,6.1,1074
Rango,6.6,2051
Penguins of Madagascar,6.5,1346
The Bourne Ultimatum,7.3,2888
Kung Fu Panda,6.9,3145
Ant-Man,7.0,5880
The Hunger Games: Catching Fire,7.4,6495
Home,6.8,1519
War of the Worlds,6.2,2322
Bad Boys II,6.3,1564
Puss in Boots,6.4,451
Salt,6.2,2093
Noah,5.6,2350
The Adventures of Tintin,6.7,2061
Harry Potter and the Prisoner of Azkaban,7.7,5877
Australia,6.3,694
After Earth,5.0,2532
Dinosaur,6.2,542
Night at the Museum: Secret of the Tomb,6.1,1851
Megamind,6.7,1918
Harry Potter and the Philosopher's Stone,7.5,7006
R.I.P.D.,5.4,1260
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
